"Meta Title","Meta Title"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Meta Robots","Meta Robots"
"Add Store","Add Store"
Select...,Select...
"Are you sure you want to delete selected stores?","Are you sure you want to delete selected stores?"
"Create Source(With Products From Store)","Create Source(With Products From Store)"
"Are you sure you want to create sources for selected stores?","Are you sure you want to create sources for selected stores?"
"Create Source(Without Products)","Create Source(Without Products)"
Code,Code
"Source Code","Source Code"
Region,Region
Postcode,Postcode
Order,Order
Created,Created
Modified,Modified
